video_id,label,w2v_0,w2v_1,w2v_2,w2v_3,w2v_4,w2v_5,w2v_6,w2v_7,w2v_8,w2v_9,w2v_10,w2v_11,w2v_12,w2v_13,w2v_14,w2v_15,w2v_16,w2v_17,w2v_18,w2v_19,w2v_20,w2v_21,w2v_22,w2v_23,w2v_24,log_video_views,log_video_likes,log_video_comments
cEOzkvtsTPs,1,0.4653630938117333,0.6342444509450005,0.409515059939125,0.5004995460770943,0.5651413032560505,0.926304853850296,0.608770617986199,0.7540774127538424,0.2627244795339213,0.13417512351275568,0.4863784530362905,0.5819553831066904,0.4785878419807572,0.4454468113470384,0.7719636359646607,0.6148107223408892,0.42598917953692456,0.6566278750179234,0.48076967449880337,0.6385077611797069,0.5095369674005923,0.654321078942776,0.3174780949844618,0.45850400190458834,0.6963101793277646,0.38166719339921173,0.46052753182704814,0.48160421772482376
XvvYApgB4AA,1,0.6673624531569088,0.6994899624718988,0.5300901005724711,0.7693742184785292,0.39983561256013955,0.6108759650121086,0.44251866275779506,0.4997017727262617,0.5564813372019096,0.33806340533011814,0.5000954637163288,0.589465819338684,0.7622225590419744,0.3831519536148282,0.36079303437474664,0.5464026599156389,0.34564663422655906,0.48729244654280507,0.5222718742395287,0.41805990160123474,0.4214104963150693,0.637093698439067,0.3887607075133309,0.36409242446001866,0.641321079444195,0.49789017284235493,0.5027212001557048,0.47424804198814197
G71uslvFzOM,0,0.4684977926923737,0.43469510254229965,0.3908775033675143,0.6319296274746389,0.48580240483216663,0.3771786204969318,0.7341335619873335,0.3995227896527948,0.36844168814805395,0.4437739323801441,0.4855694679317069,0.36924174560340206,0.7850664103297763,0.426021598884033,0.30014839217388867,0.35353014589928566,0.3523976368630316,0.6364027380595623,0.7652866954133635,0.4427496650997849,0.5285755088848851,0.49661637353400345,0.41874288786388714,0.3566261953498103,0.6368754400593858,0.29956642710839254,0.32302931932407214,0.22052173961571186
0CqErSY8MgQ,0,0.6170530297171221,0.39890834779333134,0.5336624304598064,0.5435929126808721,0.533113523662607,0.41734177343849577,0.6679088599840296,0.3689797771302743,0.5075266179855564,0.45236143128945105,0.4911044391618633,0.39819871573237736,0.8487906722152907,0.3963862725162912,0.2418242186012889,0.4519000531281561,0.19396308297321946,0.6601716480145572,0.5875392748050203,0.5184196436112735,0.37731888735913743,0.47690760656568065,0.42668497747005263,0.2879659309047793,0.615941970298343,0.5045622242744451,0.504497376070784,0.3771850577040184
I6rVZ94Od8A,1,0.5204732690385856,0.5837125937104889,0.4735665824088472,0.6095801802767822,0.5333906051716603,0.5257715250686571,0.6725725093589401,0.49410540270023806,0.47832349524326945,0.4106777734777617,0.529682548786486,0.48383775655045547,0.7631490169677215,0.3517951946783304,0.3899774974372675,0.47284208771229896,0.29903907115198425,0.6425100273701682,0.6217412105716491,0.5187649950934595,0.37641801430065025,0.5665617759460748,0.4012801169579926,0.40884342800959306,0.6298590633757789,0.452874083262902,0.48579038641153527,0.4295118844311806
eVcoivuImXQ,1,0.274842851717091,0.7826537123589752,0.47708847481674743,0.5613458633733115,0.4583977950534294,0.7189007795234136,0.7514172501187836,0.67766907626949,0.41856308014195054,0.2282922345289032,0.5717262907466445,0.5453336327729651,0.5802094081249192,0.28062694356082596,0.5951195896446828,0.5335143753511998,0.48469258163661116,0.41043224238110154,0.41300403720109186,0.6627336659942343,0.39868967464802835,0.5825323039804873,0.3969316097388137,0.5309733063388616,0.6906406556097462,0.5353680695511174,0.5616313050585402,0.5005738818461438
x7uqMF1xPR8,1,0.24725647017085095,0.5685952136089624,0.1666531243273655,0.519033364999501,0.5853254443489231,0.7104553850175946,0.7382911717168267,0.514383513868191,0.14551568044943297,0.11136700541949712,0.6227225851139565,0.5747553816160913,0.38003760465331415,0.3161951024396576,0.8225726793601671,0.26627155792045787,0.5084752996955963,0.6682768874838507,0.7096563322558477,0.4669838676371677,0.5867161205444115,0.6775168659960188,0.3800656296032103,0.3878645277367533,0.8181443663329071,0.40531298255371806,0.46910521838115177,0.4972196813393442
rh8wgqXtnII,0,0.7730695926387648,0.29185992176030623,0.40739472054644565,0.7541448236516494,0.5410416192148906,0.42972434492268496,0.5308922304908412,0.243352423319024,0.49239923302777744,0.4830108091772929,0.31934228913834695,0.6784632935882926,0.5580670291582897,0.735785495050465,0.343630605399864,0.31034729673595973,0.4237686901948532,0.7044490358931488,0.6506572718621925,0.48169725168359284,0.4706539488514937,0.40656225590879536,0.4484187188938067,0.16184129696567315,0.7907897257820223,0.5798506099404513,0.5727623526183155,0.5476838179098484
39KUEJCbB2Q,1,0.19492224726042334,0.9586622466169945,0.4743957096715956,0.6922671928363989,0.24760624189079244,0.7736596532260736,0.5701569781442428,0.6974559042683335,0.37299287935359327,0.2064081020950966,0.807065306116703,0.6016680910816637,0.4212507086755103,0.40639474945867593,0.5959142742122723,0.3977929821879698,0.8353402238445877,0.1425629607593633,0.1464251252998391,0.7436658574315151,0.33275206280152136,0.5919939574485035,0.23836961288309322,0.6598762951754389,0.6578647367363435,0.5000141624442768,0.5368034526611175,0.4878057157868292
cqJnIeaaAhQ,0,0.633858084345177,0.531362774972876,0.46638403607667944,0.6119519215830035,0.4951907534717686,0.532363825282867,0.7032984265437225,0.2937718721501813,0.39951202765030225,0.48137125702683736,0.5549803356948732,0.40866340594220363,0.8344040283811681,0.35734644643709834,0.2949560743848908,0.47839940828599425,0.15125240237638346,0.6130850932353918,0.7309339325003316,0.5176094601215511,0.5088067301986081,0.5636534102032358,0.24035167315000575,0.3736721519844809,0.6518834647993588,0.5349829549225784,0.6584968181619092,0.5576536730986694
