video_id,comment_count,comments_status,view_count,like_count,error,comments_actually_available,comments_reason,transcript_actually_available,transcript_reason
WOBsNIMnVDE,6169,enabled,5522069,59275.0,nan,True,ok,True,ok
SuvV2NCG7X4,1318,enabled,2501813,14464.0,nan,True,ok,True,ok
Z5OLzDmWWJ4,1239,enabled,2354880,8410.0,nan,True,ok,True,ok
JHTSPtnWqxo,402,enabled,61142,1021.0,nan,True,ok,True,ok
1ttf3lwC0-E,97,enabled,212404,1396.0,nan,True,ok,True,ok
V6ICe8ng8Dg,315,enabled,18962,257.0,nan,True,ok,True,ok
UmqSRioEnXY,94,enabled,63133,685.0,nan,True,ok,True,ok
BVZaK5a7vvk,793,enabled,1239733,8034.0,nan,True,ok,True,ok
pZbdz5uzGms,20,enabled,43034,75.0,nan,True,ok,True,ok
pwe-xW8-rHg,60752,enabled,10710433,313506.0,nan,True,ok,True,ok
x2l75JEuxcA,10868,enabled,10847851,134864.0,nan,True,ok,True,ok
8jKB0dRWkQM,7810,enabled,2044683,38936.0,nan,True,ok,True,ok
G9Kf8Vfcze0,134,enabled,81732,893.0,nan,True,ok,True,ok
TTNMUMmvQto,646,enabled,805549,7442.0,nan,True,ok,True,ok
6NxZem92X5Y,1753,enabled,1215480,18506.0,nan,True,ok,True,ok
rb6AfXuDx10,329,enabled,1373849,5769.0,nan,True,ok,True,ok
wfxdOjIvBiI,6999,enabled,5087494,45326.0,nan,True,ok,True,ok
VNKo1hoI3po,631,enabled,2937716,21092.0,nan,True,ok,True,ok
AGLWZPQH66Y,11141,enabled,13163282,137054.0,nan,True,ok,True,ok
tdqTp8F7OQ4,183,enabled,1896515,2402.0,nan,True,ok,True,ok
vsEPE3Jh_y0,4728,enabled,3670201,57857.0,nan,True,ok,True,ok
4HseDRZ0CEo,3067,enabled,2475832,29885.0,nan,True,ok,True,ok
EokrtVoG51o,2228,enabled,748173,15157.0,nan,True,ok,True,ok
Cn0pCvp0CPk,339,enabled,265912,5374.0,nan,True,ok,True,ok
LqWrp7RCgMA,1242,enabled,283671,5517.0,nan,True,ok,True,ok
uh8phgFP0Cc,1009,enabled,504656,7088.0,nan,True,ok,True,ok
1Ds9fVKCEs0,658,enabled,277413,5287.0,nan,True,ok,True,ok
ZkTUW-SVyUE,256,enabled,624180,3023.0,nan,True,ok,True,ok
Rq24m0bSzB8,43,enabled,672384,1039.0,nan,True,ok,True,ok
9qdDvFpMg1g,45,enabled,28660,668.0,nan,True,ok,True,ok
ASNUcYlBWRc,2242,enabled,1203815,19514.0,nan,True,ok,True,ok
hdTtqIqxdEY,120,enabled,21007,214.0,nan,True,ok,True,ok
hqIcHGRLxyc,0,disabled,21069,140.0,nan,False,disabled,True,ok
jTFcWVNSGZQ,14,enabled,42345,313.0,nan,True,ok,True,ok
87s2OMWOsug,435,enabled,132492,2701.0,nan,True,ok,True,ok
iYLJjDZwtIY,680,enabled,1592516,7718.0,nan,True,ok,True,ok
JL9TOipHrIA,2094,enabled,1584017,21536.0,nan,True,ok,True,ok
brfOLeAjy8w,76,enabled,266251,1429.0,nan,True,ok,True,ok
yHAPtCJt_WQ,5,enabled,44621,190.0,nan,True,ok,True,ok
2_IxSxt0JrI,126,enabled,15688,252.0,nan,True,ok,True,ok
ODLAF85hI5o,2079,enabled,2006792,34922.0,nan,True,ok,True,ok
fS3wGCxZ10M,214,enabled,119646,1493.0,nan,True,ok,True,ok
aETKLVBjZkM,1,enabled,789,13.0,nan,True,ok,True,ok
o90yH5_fMbY,1142,enabled,1880939,41037.0,nan,True,ok,True,ok
