video_id,label,w2v_0,w2v_1,w2v_2,w2v_3,w2v_4,w2v_5,w2v_6,w2v_7,w2v_8,w2v_9,w2v_10,w2v_11,w2v_12,w2v_13,w2v_14,w2v_15,w2v_16,w2v_17,w2v_18,w2v_19,w2v_20,w2v_21,w2v_22,w2v_23,w2v_24,log_video_views,log_video_likes,log_video_dislikes,log_video_comments
Iv6wSneHKB8,1,0.6709130556958235,0.510938446049102,0.7368323299173163,0.5441585992024681,0.35967242357753904,0.5233745555401056,0.4105703873647335,0.375906044514668,0.553682076132753,0.4799208809031448,0.47099813924531087,0.5582052853875547,0.7931878696739845,0.27073645599377627,0.1613532918812073,0.6680529254773315,0.18671633373147745,0.4950606799651897,0.32898246364800454,0.5698954597992495,0.28981986959110995,0.6893817516226003,0.46277033416821717,0.5315647041171738,0.6069271743647788,0.6645204527859817,0.7035524639817561,0.6156151532967477,0.7013261092127696
HDhAjW6tq9o,0,0.46928619762820506,0.16962292557616898,0.5910035871370207,0.6729654569005825,0.5578505593137403,0.25707663155445326,0.5479406065930486,0.1984189460070773,0.6617905583394745,0.422743383939741,0.3379260876885295,0.3249176017887512,0.6831127584571394,0.39060799534836343,0.28588428978183866,0.3185434642236622,0.21738128349646668,0.4670077256275918,0.4467169086134504,0.6322704934686942,0.27545473937082254,0.39732387479161024,0.4582056084594885,0.39534424148861785,0.7319549098393906,0.4354019618862386,0.5217514287917434,0.2997874149273912,0.6255552430533009
34op_kWt9Vc,1,0.6455869393019202,0.28327388676149395,0.37954168791346,0.698566791892726,0.4993252291346221,0.40325901636378597,0.5838440286014879,0.21525027128840757,0.4165566309245031,0.42891067906652897,0.36942938640953515,0.42879939301890124,0.641221742565441,0.5357861459661108,0.38234574360587076,0.519830354173255,0.23347792146964289,0.6499421162614839,0.7343111269056496,0.4798166950340881,0.4142638409119639,0.5638748481846898,0.33583237691010737,0.4226427399471798,0.659611203220752,0.16618570554573905,0.14894915931879985,0.05015448812239242,0.0
UlhFEzmmSlM,0,0.6793897885051895,0.29653830681453114,0.4986437933331613,0.6458124435889447,0.44860122216622006,0.4671983942334432,0.6092712704520921,0.1717396865728803,0.6617066537504586,0.5397273537520815,0.41872601241157537,0.5569824646756112,0.6898482630881483,0.5067940827755295,0.3575647211580556,0.5439166330222044,0.30410208011291906,0.5867065027246284,0.555425017787565,0.5095487822611173,0.42749377623191465,0.626786555860883,0.34173580754488087,0.2856328047703137,0.734176002292418,0.47379976621991815,0.39242447327208757,0.2830647182345474,0.2963140482353134
BJhlqF263GE,0,0.5377262709197429,0.4421694778032897,0.4699078446108275,0.6626043698971188,0.4838114421640094,0.41662621627332436,0.6497599816426376,0.3432701246923176,0.5737240341992396,0.47158228165941435,0.4528432505663619,0.4686214757366821,0.7983143263232986,0.42631305462790936,0.2964274053757988,0.5054522785183878,0.32295148904747856,0.5790141982871418,0.6225588416966314,0.44179565870289783,0.4636702431591795,0.5968394713043099,0.39492297209748994,0.2786445188240318,0.7028866926356632,0.5624995967242407,0.5757232867251852,0.4139082104099045,0.4928909163017456
IEzjvhdJLaM,0,0.5615936957412428,0.44718194711165915,0.5108346746522422,0.5642877679955394,0.4363351139802533,0.48950124895713315,0.7098476119621824,0.31533470439254907,0.6058742380877239,0.48885076894010837,0.507780227249246,0.5615413973736858,0.7139277721741399,0.4377206898869562,0.3795655922454482,0.5460167434851132,0.3854936029537886,0.5577952255301445,0.5480042455667367,0.4135500987714304,0.4126856369190879,0.5426282661093584,0.3259848914167641,0.2904600797864896,0.7129527479554091,0.30829730767284347,0.3007435365125309,0.0,0.15307177822549525
HCByhdrdWcM,0,0.6539251593423396,0.2388266755108437,0.4429757313429513,0.6043472221553688,0.5918752413960882,0.35738034433758803,0.6301294026503246,0.3228679666057511,0.2991825635097466,0.6120478330171123,0.3884572180604405,0.711855962482973,0.575154254761247,0.6082290630899824,0.16235711266364766,0.34364315585764593,0.5455588104615875,0.749284223414203,0.6796115107521968,0.47035544714856214,0.5351961489120136,0.3881612087919227,0.4640453795940297,0.21244045865554584,0.6723685977606416,0.6766516910048971,0.7451070071119043,0.6120219799418803,0.7252006267015695
qev-xnvFcyE,1,0.3571285984140098,0.41134948106854113,0.7201096146324945,0.5224995805026826,0.7131089299146569,0.5759063718451506,0.6703248565971556,0.7122981282955665,0.5212485790942665,0.45151513795593234,0.2752061539504933,0.37533512729112756,0.6412910528743081,0.29295465335425275,0.5028564427597767,0.7645335377024447,0.4111611797047413,0.6860291857954146,0.40330814598296694,0.6123994536742434,0.3661753319985852,0.4094289060307239,0.6125346984631677,0.6358281796096399,0.34526161578701753,0.5471669402520425,0.49945148818927887,0.43842380214174176,0.47517985145709396
IA61yjyy5M8,0,0.4576284064560816,0.517787799347913,0.47622207636712643,0.6496721477344738,0.5363494644157166,0.4073164925791514,0.7675854596422084,0.4399155330449488,0.47703321248660124,0.41213306306032405,0.4713414998714977,0.3348266124338176,0.8594922572075288,0.3288417874320673,0.2623217688636423,0.4804852646294205,0.2961387585523789,0.642747810203704,0.7733850826448105,0.40998222537115914,0.4993683113808877,0.49420808100288316,0.3668378979198854,0.3369792407250988,0.6113721657377528,0.13259676328501988,0.12464495175793638,0.05015448812239242,0.051023926075165094
NF4nBCwO7Ng,1,0.6434571921241434,0.6082358305631136,0.6256004907088661,0.5350639449359818,0.3719626368203841,0.5106830795217853,0.5658603898176704,0.39482377684634895,0.5748328257396147,0.473385931711373,0.44513623076233577,0.5927730731994404,0.8205839012589144,0.31064457181116306,0.1540604846894776,0.6756985984665357,0.18804624513299767,0.5000137759810078,0.36878864852217363,0.5694997498252609,0.2851078331329223,0.5779634240957935,0.5182329547698972,0.48267539539785786,0.6154900707067394,0.4070634104196752,0.41738440945495603,0.38655865204496337,0.41912681157755344
