"video_id,comment_count,comments_status,view_count,like_count,error"
"6UCjUdTyr1w,5991,enabled,3877484,15498,"
"5f_RJpenvAI,17633,enabled,12255799,70911,"
"4WcdkItFjbY,2327,enabled,2133357,25605,"
"fW9aMoZURew,130,enabled,840733,3010,"
"5idaQec5hoA,24,enabled,203613,823,"
"Ew-b0KTPSy8,308,enabled,205691,3114,"
"7MtXCkKs18g,5967,enabled,3083632,54025,"
"t9iWCAWaWjU,2980,enabled,5150563,35360,"
"ZmeFsBuzdak,462,enabled,581288,6535,"
"26UfiKtOtrE,215,enabled,69065,1715,"
"iHi2OermTEc,5,enabled,247,13,"
"jPZ0ofY_2-U,66,enabled,11291,272,"
"VdHGqX0nuPQ,2094,enabled,1204972,7688,"
"lp96CLdrdPg,542,enabled,312830,5965,"
"9SbxPWJH8tU,224,enabled,134070,3197,"
"CGN_xByxGMw,1292,enabled,662571,13893,"
"funJHw0wIOs,400,enabled,553284,3265,"
"c1wg3ANeyq8,246,enabled,17191,232,"
"k-Hw_5kaYk4,334,enabled,189804,2013,"
"-hPRwRTQY8o,856,enabled,2247830,9993,"
"CI_Y6RLRtis,7415,enabled,11819625,40944,"
"h5i0XvMpWbg,3889,enabled,4738824,49829,"
"RJd9S6e_85c,91,enabled,60390,392,"
"WcrGyiKGEvg,64,enabled,25561,545,"
"K9aP4cdysAM,2381,enabled,2163917,16369,"
"gqsNHdfSERQ,5764,enabled,2938058,39679,"
"XQ1_u-z2UWI,1548,enabled,1161560,9873,"
"1TPdQyKGfwk,273,enabled,46045,582,"
"36NjBO_jkCw,202,enabled,56584,652,"
"38oKE-7LFJ4,3622,enabled,4170426,28478,"
"X1UDuzuuc5k,956,enabled,1754323,10992,"
"dLtrbr4rv2k,396,enabled,302397,3722,"
"XUrL785fX2U,88,enabled,141675,3697,"
"9rIyzmz5Hmk,81,enabled,25307,715,"
"OQZSwKL7HXA,226,enabled,64391,1467,"
"98vVChmws2E,257,enabled,360991,5157,"
"jEh0_uBmJe8,62,enabled,19038,465,"
"qcuCpOdBhcU,1331,enabled,536417,6217,"
"_M7OO9NrEzI,4347,enabled,4824716,24773,"
"zrGrpRXbOJ4,3390,enabled,1548594,29369,"
"yeIPDJcS9MQ,0,disabled,5877,82,"
"B9gs6Y_lnAQ,4124,enabled,630464,33615,"
"DXt1GqzlH_E,1229,enabled,320937,5378,"
"vx_FK7OLI7o,61,enabled,14407,185,"
"ltTBH5driHw,28,enabled,13322,387,"
"rlqafKgRmXU,4107,enabled,1196100,20665,"
"tBd1Am7N13Y,2435,enabled,833687,8913,"
"PBwS7svfqkI,3228,enabled,2273040,21932,"
"YLKeDUuWoK0,575,enabled,243808,4200,"
"sgIbXwoSv-s,791,enabled,2119743,7500,"
"6cRV87SyBCs,208,enabled,148764,3314,"
"uSBnvoWkBdU,1674,enabled,5782000,19909,"
"Jn5CvDgaZSc,2029,enabled,3845898,28521,"
"QewvvIpwUlI,589,enabled,1602711,3598,"
"MHB6viOnEf8,64,enabled,23473,930,"
"3AVmLf3jSsQ,101,enabled,111362,2715,"
"hAeTOUCmK_8,790,enabled,404998,6049,"
"GWUL_GgUAlo,1317,enabled,572862,9338,"
"1iYpwybwDpA,304,enabled,2352778,8238,"
"nNlFZva_ewc,1935,enabled,1134869,8863,"
"CH7hF8qNmno,68,enabled,31998,662,"
"FiR2iiV9E68,991,enabled,4851046,58284,"
"bPFnQ_PVKNY,3956,enabled,520850,15864,"
"3upCBO27Wqw,6682,enabled,2936098,30025,"
"pvs_QscDsWQ,888,enabled,1458576,7891,"
"OZ81LbiiSpg,829,enabled,9225625,27156,"
"VDOF09361XE,421,enabled,56723,476,"
"_jzhoX7V4qc,596,enabled,7076771,10755,"
"-mnALVtXvSU,1734,enabled,1748684,16343,"
"0PU2Ah1Y76g,434,enabled,171184,3042,"
"R72oScwrHRI,16,enabled,26358,194,"
"qKUq4uBHQPg,10197,enabled,4022241,60269,"
"e17Thb0XiDo,357,enabled,527332,6555,"
"711kXYm5L10,288,enabled,492627,3388,"
"1rodyk_PvbE,8,enabled,44393,101,"
"s0vbUoqEOUg,199,enabled,1421662,8093,"
"weYuuIZBOss,149,enabled,153520,1500,"
"BsAPiFdsWJ4,173,enabled,198381,2313,"
"E9nudSkPOiI,5719,enabled,8786759,86554,"
"RrSP2KsU7Kc,7112,enabled,2058418,22220,"
"2XJOkQQL5Y4,1435,enabled,890140,9571,"
"nTbsOTHtJGo,207,enabled,27999,408,"
"Y3JtUO7bpwo,4,enabled,374,12,"
"aUlimrFs6hM,136,enabled,133732,1302,"
"Hq0daN8LVyQ,2654,enabled,388820,9408,"
"T4r1zVp3r4Q,22,enabled,12563,135,"
"eDDMSULnTdE,3802,enabled,1882926,23492,"
"MtYu_B9eVP0,1128,enabled,449368,5570,"
"rm3QTiUcpHY,2403,enabled,1027730,8618,"
"pJ-9Fjr3Hdk,0,disabled,349231,5818,"
"BYOoWyoRDPY,7254,enabled,8946560,52001,"
"_7I8C1ynVco,0,zero,407,5,"
"ugO5uSWCSoU,759,enabled,1504210,8311,"
"bYXAnHUm8TY,330,enabled,114614,3117,"
"L9ssq0KufmE,5919,enabled,2815128,42869,"
"_pJ3WzHH3Mg,8,enabled,3599,32,"
"ylAO6Bg3E8w,242,enabled,28501,284,"
"DvCP3Gmxd8Y,904,enabled,3130824,44277,"
"NrPxOjofsZY,4456,enabled,3155452,34043,"
"yarsCzySIC4,3125,enabled,4086090,32432,"
"rVq7tz4jA-I,150,enabled,73611,1854,"
"OhdBzHU7sdQ,346,enabled,186483,3537,"
"8AnCBDIwHsE,710,enabled,483911,1630,"
"ONjVIeJ0HZg,7206,enabled,5520445,95714,"
"2NromoWOzn0,1181,enabled,886743,8505,"
"1KdxrKgwknQ,1430,enabled,591816,9765,"
"-3c-V5K2p88,8076,enabled,3144690,25235,"
"Theih2v9Tc8,3579,enabled,3991298,33684,"
"eXuT_83QI6g,244,enabled,65326,2075,"
"yXVuP1cvcJ8,445,enabled,1370741,7746,"
"p4a0F-7LWt4,3849,enabled,14958813,61332,"
"Uzcg_EWfy28,953,enabled,531821,4621,"
"xsZLVN2iriE,1094,enabled,10415473,35153,"
"Mmh1JGzKyEY,1131,enabled,314308,5901,"
"HVyUkKthTuA,772,enabled,1253104,8480,"
